"record_id","species","order_raw","order_cn","province_cn","province_en_raw","year","iucn_raw","discover_cause_raw","discovery_method_raw","longitude","latitude","order","province","iucn","discover_reason","discovery_method"
735,"Passer cinnamomeus","PASSERIFORMES","雀形目","北京市","Beijing",2004,"LC","分布变化","观察拍摄",115.475194444444,39.7685555555556,"Passeriformes","Beijing","LC","Range shift or distribution change","Direct observation / photography"
699,"Aethopyga christinae","PASSERIFORMES","雀形目","湖北省","Hubei",2004,"LC","分布变化","观察拍摄",110.537333333333,30.0736666666667,"Passeriformes","Hubei","LC","Range shift or distribution change","Direct observation / photography"
571,"Lanius tephronotus","PASSERIFORMES","雀形目","新疆维吾尔自治区","Xinjiang",2004,"LC","分布变化","观察和拍照",75.4027222222222,37.3726388888889,"Passeriformes","Xinjiang","LC","Range shift or distribution change","Direct observation / photography"
995,"Pelecanus onocrotalus","PELECANIFORMES","鹈形目","四川省","Sichuan",2004,"LC","分布变化","观察拍摄",106.089,30.815447,"Pelecaniformes","Sichuan","LC","Range shift or distribution change","Direct observation / photography"
1059,"Tyto alba","STRIGIFORMES","鸮形目","广西壮族自治区","Guangxi",2004,"LC","分布变化","标本采集",109.51209,18.25248,"Strigiformes","Guangxi","LC","Range shift or distribution change","Specimen or carcass collection"
188,"Hydroprogne caspia","CHARADRIIFORMES","鸻形目","云南省","Yunnan",2005,"LC","分布变化","查阅标本",102.64068,25.00224,"Charadriiformes","Yunnan","LC","Range shift or distribution change","Specimen or carcass collection"
589,"Helopsaltes pleskei","PASSERIFORMES","雀形目","广西壮族自治区","Guangxi",2005,"LC","分布变化","标本采集",106.76649,22.09439,"Passeriformes","Guangxi","LC","Range shift or distribution change","Specimen or carcass collection"
896,"Mixornis gularis","PASSERIFORMES","雀形目","广西壮族自治区","Guangxi",2005,"LC","分布变化","标本采集",106.957666666667,22.4744,"Passeriformes","Guangxi","LC","Range shift or distribution change","Specimen or carcass collection"
469,"Certhia tianquanensis","PASSERIFORMES","雀形目","陕西省","Shaanxi",2005,"LC","重新认定为独立物种","录音回放和捕捉辨认",107.8,34.0166666666667,"Passeriformes","Shaanxi","LC","Taxonomic revision","Acoustic detection"
1035,"Phoebastria immutabilis","PROCELLARIIFORMES","鹱形目","福建省","Fujian",2005,"NT","分布变化","查阅标本",119.29659,26.09982,"Procellariiformes","Fujian","NT","Range shift or distribution change","Specimen or carcass collection"
1045,"Asio flammeus","STRIGIFORMES","鸮形目","广西壮族自治区","Guangxi",2005,"LC","分布变化","标本采集",107.07668,22.14016,"Strigiformes","Guangxi","LC","Range shift or distribution change","Specimen or carcass collection"
1062,"Tyto longimembris","STRIGIFORMES","鸮形目","河北省","Hebei",2005,"LC","分布变化","环志网捕",117.5,38.15,"Strigiformes","Hebei","LC","Range shift or distribution change","Capture or mist-netting"
42,"Elanus caeruleus","ACCIPITRIFORMES","鹰形目","天津市","Tianjin",2006,"LC","分布变化","整理照片时发现，观察拍摄",117.11,39.17,"Accipitriformes","Tianjin","LC","Range shift or distribution change","Direct observation / photography"
86,"Aythya nyroca","ANSERIFORMES","雁形目","福建省","Fujian",2006,"NT","分布变化","观察",119.52324,25.96283,"Anseriformes","Fujian","NT","Range shift or distribution change","Direct observation / photography"
85,"Aythya fuligula","ANSERIFORMES","雁形目","海南省","Hainan",2006,"LC","分布变化","观察",109.17361,18.74986,"Anseriformes","Hainan","LC","Range shift or distribution change","Direct observation / photography"
184,"Gygis alba","CHARADRIIFORMES","鸻形目","福建省","Fujian",2006,"LC","分布变化","观察",119.73637,25.61351,"Charadriiformes","Fujian","LC","Range shift or distribution change","Direct observation / photography"
193,"Larus cachinnans","CHARADRIIFORMES","鸻形目","福建省","Fujian",2006,"LC","分布变化","观察",119.29659,26.09982,"Charadriiformes","Fujian","LC","Range shift or distribution change","Direct observation / photography"
157,"Charadrius placidus","CHARADRIIFORMES","鸻形目","海南省","Hainan",2006,"LC","分布变化","观察",108.94,18.09,"Charadriiformes","Hainan","LC","Range shift or distribution change","Direct observation / photography"
158,"Charadrius veredus","CHARADRIIFORMES","鸻形目","海南省","Hainan",2006,"LC","分布变化","观察",110.7949011,19.5388959,"Charadriiformes","Hainan","LC","Range shift or distribution change","Direct observation / photography"
195,"Larus crassirostris","CHARADRIIFORMES","鸻形目","海南省","Hainan",2006,"LC","分布变化","观察",109.69077,19.91243,"Charadriiformes","Hainan","LC","Range shift or distribution change","Direct observation / photography"
143,"Synthliboramphus antiquus","CHARADRIIFORMES","鸻形目","海南省","Hainan",2006,"LC","分布变化","观察，标本采集",110.5865823,19.9672118,"Charadriiformes","Hainan","LC","Range shift or distribution change","Specimen or carcass collection"
163,"Vanellus cinereus","CHARADRIIFORMES","鸻形目","海南省","Hainan",2006,"LC","分布变化","观察",110.12,19,"Charadriiformes","Hainan","LC","Range shift or distribution change","Direct observation / photography"
166,"Vanellus vanellus","CHARADRIIFORMES","鸻形目","海南省","Hainan",2006,"NT","分布变化","观察拍摄",110.5865823,19.9672118,"Charadriiformes","Hainan","NT","Range shift or distribution change","Direct observation / photography"
287,"Tringa guttifer","CHARADRIIFORMES","鸻形目","辽宁省","Liaoning",2006,"EN","分布变化","观察拍摄",124.03,39.82,"Charadriiformes","Liaoning","EN","Range shift or distribution change","Direct observation / photography"
324,"Streptopelia decaocto","COLUMBIFORMES","鸽形目","黑龙江省","Heilongjiang",2006,"LC","分布变化","环志时捕获",125.262222222222,49.1,"Columbiformes","Heilongjiang","LC","Range shift or distribution change","Capture or mist-netting"
322,"Spilopelia chinensis","COLUMBIFORMES","鸽形目","内蒙古自治区","Inner Mongolia",2006,"LC","分布变化","观察拍摄",111.724833333333,40.8074166666667,"Columbiformes","Inner Mongolia","LC","Range shift or distribution change","Direct observation / photography"
331,"Alcedo hercules","CORACIIFORMES","佛法僧目","福建省","Fujian",2006,"NT","分布变化","观察",117.29652,26.508325,"Coraciiformes","Fujian","NT","Range shift or distribution change","Direct observation / photography"
345,"Todiramphus chloris","CORACIIFORMES","佛法僧目","福建省","Fujian",2006,"LC","分布变化","观察",119.67,26.01,"Coraciiformes","Fujian","LC","Range shift or distribution change","Direct observation / photography"
381,"Gavia adamsii","GAVIIFORMES","潜鸟目","四川省","Sichuan",2006,"NT","分布变化","标本采集，村民救护",104.28249,30.97706,"Gaviiformes","Sichuan","NT","Range shift or distribution change","Specimen or carcass collection"
873,"Gracupica nigricollis","PASSERIFORMES","雀形目","重庆市","Chongqing",2006,"LC","分布变化","观察",106.5,29.51,"Passeriformes","Chongqing","LC","Range shift or distribution change","Direct observation / photography"
533,"Chloris ambigua","PASSERIFORMES","雀形目","广西壮族自治区","Guangxi",2006,"LC","分布变化","标本采集",105.19576,24.973891,"Passeriformes","Guangxi","LC","Range shift or distribution change","Specimen or carcass collection"
608,"Copsychus saularis","PASSERIFORMES","雀形目","广西壮族自治区","Guangxi",2006,"LC","分布变化","标本采集",108.3,22.85,"Passeriformes","Guangxi","LC","Range shift or distribution change","Specimen or carcass collection"
894,"Cyanoderma rufifrons","PASSERIFORMES","雀形目","广西壮族自治区","Guangxi",2006,"LC","分布变化","标本采集",106.85455,22.34262,"Passeriformes","Guangxi","LC","Range shift or distribution change","Specimen or carcass collection"
907,"Otocichla mupinensis","PASSERIFORMES","雀形目","广西壮族自治区","Guangxi",2006,"LC","分布变化","标本采集",104.955,24.61493,"Passeriformes","Guangxi","LC","Range shift or distribution change","Specimen or carcass collection"
729,"Parus monticolus","PASSERIFORMES","雀形目","广西壮族自治区","Guangxi",2006,"LC","分布变化","标本采集",106.085,23.36,"Passeriformes","Guangxi","LC","Range shift or distribution change","Specimen or carcass collection"
747,"Pellorneum tickelli","PASSERIFORMES","雀形目","广西壮族自治区","Guangxi",2006,"LC","分布变化","标本采集",106.88,22.35,"Passeriformes","Guangxi","LC","Range shift or distribution change","Specimen or carcass collection"
713,"Suthora alphonsiana","PASSERIFORMES","雀形目","广西壮族自治区","Guangxi",2006,"LC","分布变化","标本采集",105.09383,24.48957,"Passeriformes","Guangxi","LC","Range shift or distribution change","Specimen or carcass collection"
535,"Chloris sinica","PASSERIFORMES","雀形目","海南省","Hainan",2006,"LC","分布变化","观察",109.7,19.9,"Passeriformes","Hainan","LC","Range shift or distribution change","Direct observation / photography"
488,"Dicrurus hottentottus","PASSERIFORMES","雀形目","海南省","Hainan",2006,"LC","分布变化","观察拍摄",110.333333333333,20,"Passeriformes","Hainan","LC","Range shift or distribution change","Direct observation / photography"
871,"Gracupica nigricollis","PASSERIFORMES","雀形目","海南省","Hainan",2006,"LC","分布变化","观察拍摄",110.5865823,19.9672118,"Passeriformes","Hainan","LC","Range shift or distribution change","Direct observation / photography"
822,"Pycnonotus aurigaster","PASSERIFORMES","雀形目","海南省","Hainan",2006,"LC","分布变化","观察拍摄",110.333333333333,20,"Passeriformes","Hainan","LC","Range shift or distribution change","Direct observation / photography"
562,"Riparia riparia","PASSERIFORMES","雀形目","海南省","Hainan",2006,"LC","分布变化","观察",110.01,19.97,"Passeriformes","Hainan","LC","Range shift or distribution change","Direct observation / photography"
525,"Bucanetes mongolicus","PASSERIFORMES","雀形目","黑龙江省","Heilongjiang",2006,"LC","分布变化","环志捕获，标本采集",101.06188,41.971086,"Passeriformes","Heilongjiang","LC","Range shift or distribution change","Specimen or carcass collection"
862,"Sitta villosa","PASSERIFORMES","雀形目","黑龙江省","Heilongjiang",2006,"LC","分布变化","环志捕获",126.66285,45.74208,"Passeriformes","Heilongjiang","LC","Range shift or distribution change","Capture or mist-netting"
471,"Cisticola juncidis","PASSERIFORMES","雀形目","辽宁省","Liaoning",2006,"LC","分布变化","观察",123.619033768175,39.933110384813,"Passeriformes","Liaoning","LC","Range shift or distribution change","Direct observation / photography"
830,"Pycnonotus sinensis","PASSERIFORMES","雀形目","辽宁省","Liaoning",2006,"LC","分布变化","观察拍摄, 网捕",121.59,38.92,"Passeriformes","Liaoning","LC","Range shift or distribution change","Capture or mist-netting"
833,"Pycnonotus sinensis","PASSERIFORMES","雀形目","青海省","Qinghai",2006,"LC","分布变化","观察和拍照，采集标本",101.75,36.63,"Passeriformes","Qinghai","LC","Range shift or distribution change","Specimen or carcass collection"
429,"Acrocephalus concinens","PASSERIFORMES","雀形目","上海市","Shanghai",2006,"LC","分布变化，调查不足","网捕",121.3973,31.6229,"Passeriformes","Shanghai","LC","Mixed: range change + survey/technology","Capture or mist-netting"
590,"Helopsaltes pleskei","PASSERIFORMES","雀形目","上海市","Shanghai",2006,"LC","分布变化，调查不足","网捕",121.91,31.52,"Passeriformes","Shanghai","LC","Mixed: range change + survey/technology","Capture or mist-netting"
591,"Helopsaltes pryeri","PASSERIFORMES","雀形目","上海市","Shanghai",2006,"NT","分布变化，调查不足","网捕",121.3973,31.6229,"Passeriformes","Shanghai","NT","Mixed: range change + survey/technology","Capture or mist-netting"
521,"Lonchura striata","PASSERIFORMES","雀形目","西藏自治区","Tibet",2006,"LC","分布变化","网捕",95.15,29.2333333333333,"Passeriformes","Tibet","LC","Range shift or distribution change","Capture or mist-netting"
514,"Emberiza sulphurata","PASSERIFORMES","雀形目","浙江省","Zhejiang",2006,"LC","分布变化","观察拍摄",122.066666666667,30.5666666666667,"Passeriformes","Zhejiang","LC","Range shift or distribution change","Direct observation / photography"
753,"Phylloscopus borealoides","PASSERIFORMES","雀形目","浙江省","Zhejiang",2006,"LC","分布变化","记录鸣声",122.066666666667,30.5666666666667,"Passeriformes","Zhejiang","LC","Range shift or distribution change","Acoustic detection"
980,"Oroanassa magnifica","PELECANIFORMES","鹈形目","湖南省","Hunan",2006,"EN","分布变化","救助",113.64317,28.16378,"Pelecaniformes","Hunan","EN","Range shift or distribution change","Rescue or citizen report"
961,"Ardea intermedia","PELECANIFORMES","鹈形目","辽宁省","Liaoning",2006,"LC","分布变化","观察拍摄",124.19,39.97,"Pelecaniformes","Liaoning","LC","Range shift or distribution change","Direct observation / photography"
971,"Egretta eulophotes","PELECANIFORMES","鹈形目","天津市","Tianjin",2006,"VU","分布变化","整理照片时发现，观察拍摄",117.80577,39.257647,"Pelecaniformes","Tianjin","VU","Range shift or distribution change","Direct observation / photography"
983,"Oroanassa magnifica","PELECANIFORMES","鹈形目","云南省","Yunnan",2006,"EN","分布变化","环志灯诱",101.55,24.03,"Pelecaniformes","Yunnan","EN","Range shift or distribution change","Other"
1025,"Picumnus innominatus","PICIFORMES","啄木鸟目","广西壮族自治区","Guangxi",2006,"LC","分布变化","标本采集",106.41769,23.13402,"Piciformes","Guangxi","LC","Range shift or distribution change","Specimen or carcass collection"
1041,"Bulweria bulwerii","PROCELLARIIFORMES","鹱形目","云南省","Yunnan",2006,"LC","分布变化","救助",103.23098,22.903222,"Procellariiformes","Yunnan","LC","Range shift or distribution change","Rescue or citizen report"
1044,"Syrrhaptes paradoxus","PTEROCLIFORMES","沙鸡目","广西壮族自治区","Guangxi",2006,"LC","分布变化","观察和拍照，采集标本",107.133333333333,22.2,"Pterocliformes","Guangxi","LC","Range shift or distribution change","Specimen or carcass collection"
1064,"Fregata andrewsi","SULIFORMES","鲣鸟目","福建省","Fujian",2006,"VU","分布变化","发现尸体、制成标本",119.22736,25.888656,"Suliformes","Fujian","VU","Range shift or distribution change","Specimen or carcass collection"
63,"Nisaetus nipalensis","ACCIPITRIFORMES","鹰形目","甘肃省","Gansu",2007,"NT","分布变化","救助",104.705468,32.929844,"Accipitriformes","Gansu","NT","Range shift or distribution change","Rescue or citizen report"
12,"Accipiter trivirgatus","ACCIPITRIFORMES","鹰形目","陕西省","Shaanxi",2007,"LC","分布变化","观察",107.666666666667,33.55,"Accipitriformes","Shaanxi","LC","Range shift or distribution change","Direct observation / photography"
82,"Anser indicus","ANSERIFORMES","雁形目","重庆市","Chongqing",2007,"LC","分布变化","观察和拍摄",106.433333333333,29.8419444444444,"Anseriformes","Chongqing","LC","Range shift or distribution change","Direct observation / photography"
117,"Mareca americana","ANSERIFORMES","雁形目","吉林省","Jilin",2007,"LC","分布变化","观察",122.348416666667,45.0541944444444,"Anseriformes","Jilin","LC","Range shift or distribution change","Direct observation / photography"
295,"Stercorarius pomarinus","CHARADRIIFORMES","鸻形目","内蒙古自治区","Inner Mongolia",2007,"LC","分布变化","观察",110.01,41.53,"Charadriiformes","Inner Mongolia","LC","Range shift or distribution change","Direct observation / photography"
274,"Numenius madagascariensis","CHARADRIIFORMES","鸻形目","陕西省","Shaanxi",2007,"EN","分布变化","观察",107.52,33.19,"Charadriiformes","Shaanxi","EN","Range shift or distribution change","Direct observation / photography"
241,"Calidris melanotos","CHARADRIIFORMES","鸻形目","天津市","Tianjin",2007,"LC","分布变化","整理照片时发现，观察拍摄",117.68,39.11,"Charadriiformes","Tianjin","LC","Range shift or distribution change","Direct observation / photography"
251,"Calidris minuta","CHARADRIIFORMES","鸻形目","天津市","Tianjin",2007,"LC","分布变化","整理照片时发现，观察拍摄",117.7,39.11,"Charadriiformes","Tianjin","LC","Range shift or distribution change","Direct observation / photography"
257,"Calidris pugnax","CHARADRIIFORMES","鸻形目","天津市","Tianjin",2007,"LC","分布变化","整理照片时发现，观察拍摄",117.49,38.46,"Charadriiformes","Tianjin","LC","Range shift or distribution change","Direct observation / photography"
366,"Chrysolophus pictus","GALLIFORMES","鸡形目","山西省","Shanxi",2007,"LC","分布变化","观察，标本采集",111.316666666667,34.9666666666667,"Galliformes","Shanxi","LC","Range shift or distribution change","Specimen or carcass collection"
367,"Chrysolophus pictus","GALLIFORMES","鸡形目","四川省","Sichuan",2007,"LC","分布变化，调查不足","标本采集",111.316666666667,34.9666666666667,"Galliformes","Sichuan","LC","Mixed: range change + survey/technology","Specimen or carcass collection"
408,"Amaurornis phoenicurus","GRUIFORMES","鹤形目","吉林省","Jilin",2007,"LC","分布变化","捡到尸体",122.335972222222,45.0195,"Gruiformes","Jilin","LC","Range shift or distribution change","Specimen or carcass collection"
470,"Cisticola exilis","PASSERIFORMES","雀形目","海南省","Hainan",2007,"LC","分布变化，调查不足","观察",109.106039183255,19.0094632635263,"Passeriformes","Hainan","LC","Mixed: range change + survey/technology","Direct observation / photography"
764,"Phylloscopus collybita","PASSERIFORMES","雀形目","河南省","Henan",2007,"LC","分布变化","环志时捕获",114.283333333333,32.1,"Passeriformes","Henan","LC","Range shift or distribution change","Capture or mist-netting"
660,"Larvivora cyane","PASSERIFORMES","雀形目","湖南省","Hunan",2007,"LC","分布变化","标本采集，防鸟网上捡到尸体",113.21,28.2,"Passeriformes","Hunan","LC","Range shift or distribution change","Specimen or carcass collection"
435,"Aegithalos bonvaloti","PASSERIFORMES","雀形目","陕西省","Shaanxi",2007,"LC","分布变化","观察，雾网捕获，标本采集",107.75,34.16,"Passeriformes","Shaanxi","LC","Range shift or distribution change","Specimen or carcass collection"
597,"Anthus godlewskii","PASSERIFORMES","雀形目","陕西省","Shaanxi",2007,"LC","分布变化","观察",107.98,33.53,"Passeriformes","Shaanxi","LC","Range shift or distribution change","Direct observation / photography"
637,"Ficedula hyperythra","PASSERIFORMES","雀形目","陕西省","Shaanxi",2007,"LC","分布变化","观察",107.98,33.53,"Passeriformes","Shaanxi","LC","Range shift or distribution change","Direct observation / photography"
662,"Monticola rufiventris","PASSERIFORMES","雀形目","陕西省","Shaanxi",2007,"LC","分布变化","观察",107.76,33.6,"Passeriformes","Shaanxi","LC","Range shift or distribution change","Direct observation / photography"
811,"Prunella immaculata","PASSERIFORMES","雀形目","陕西省","Shaanxi",2007,"LC","分布变化","标本采集",107.766666666667,33.9166666666667,"Passeriformes","Shaanxi","LC","Range shift or distribution change","Specimen or carcass collection"
919,"Turdus boulboul","PASSERIFORMES","雀形目","陕西省","Shaanxi",2007,"LC","分布变化","观察",107.98,33.53,"Passeriformes","Shaanxi","LC","Range shift or distribution change","Direct observation / photography"
957,"Yuhina nigrimenta","PASSERIFORMES","雀形目","陕西省","Shaanxi",2007,"LC","分布变化","观察",107.25,32.55,"Passeriformes","Shaanxi","LC","Range shift or distribution change","Direct observation / photography"
943,"Zoothera mollissima","PASSERIFORMES","雀形目","陕西省","Shaanxi",2007,"LC","分布变化","观察",107.891657287872,34.1039140027229,"Passeriformes","Shaanxi","LC","Range shift or distribution change","Direct observation / photography"
807,"Pitta sordida","PASSERIFORMES","雀形目","四川省","Sichuan",2007,"LC","分布变化","标本采集",102.98,31.5,"Passeriformes","Sichuan","LC","Range shift or distribution change","Specimen or carcass collection"
715,"Suthora przewalskii","PASSERIFORMES","雀形目","四川省","Sichuan",2007,"LC","分布变化","观察拍摄",104.76222,32.579169,"Passeriformes","Sichuan","LC","Range shift or distribution change","Direct observation / photography"
583,"Pterorhinus gularis","PASSERIFORMES","雀形目","云南省","Yunnan",2007,"LC","分布变化","观察拍摄",101.51,22.48,"Passeriformes","Yunnan","LC","Range shift or distribution change","Direct observation / photography"
945,"Zoothera monticola","PASSERIFORMES","雀形目","云南省","Yunnan",2007,"LC","分布变化","观察拍摄",97.8333333333333,24.0166666666667,"Passeriformes","Yunnan","LC","Range shift or distribution change","Direct observation / photography"
1033,"Podiceps nigricollis","PODICIPEDIFORMES","䴙䴘目","陕西省","Shaanxi",2007,"LC","分布变化","观察",106.9,32.95,"Podicipediformes","Shaanxi","LC","Range shift or distribution change","Direct observation / photography"
10,"Accipiter trivirgatus","ACCIPITRIFORMES","鹰形目","河南省","Henan",2008,"LC","分布变化","发现巢址，观察拍摄",114.249433333333,31.9506333333333,"Accipitriformes","Henan","LC","Range shift or distribution change","Direct observation / photography"
