species,match_status,n_raw,n_clean,n_cell_unique,model_status,skip_reason,cv_strategy,maxent_engine
Bubulcus ibis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Bucanetes mongolicus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Bulweria bulwerii,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Butastur indicus,matched,2,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Cacomantis merulinus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Calandrella brachydactyla,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Calidris acuminata,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Calidris alba,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Calidris alpina,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Calidris bairdii,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Calidris canutus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Calidris falcinellus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Calidris melanotos,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Calidris minuta,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Calidris pugnax,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Calidris pygmaea,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Calidris subminuta,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Calidris tenuirostris,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Callacanthis burtoni,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Calliope obscura,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Calonectris leucomelas,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Caprimulgus macrurus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Carduelis carduelis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Carpodacus roborowskii,matched,6,6,6,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Carpodacus vinaceus,matched,36,36,36,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Cecropis daurica,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Cecropis striolata,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Centropus bengalensis,matched,3,3,3,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Cephalopyrus flammiceps,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Certhia familiaris,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Certhia himalayana,matched,3,3,3,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Certhia tianquanensis,matched,10,10,10,modeled,NA,random_repeated,maxnet::maxnet
Ceryle rudis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Cettia brunnifrons,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Cettia castaneocoronata,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Chalcophaps indica,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Charadrius asiaticus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Charadrius atrifrons,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Charadrius dealbatus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Charadrius hiaticula,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Charadrius mongolus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Charadrius placidus,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Charadrius veredus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Chlidonias leucopterus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Chlidonias niger,matched,9,9,9,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Chloris ambigua,matched,6,6,6,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Chloris chloris,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Chloris sinica,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Chrysolophus pictus,matched,311,311,311,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ciconia boyciana,matched,59,59,59,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ciconia episcopus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Ciconia nigra,matched,16,16,16,modeled,NA,random_repeated,maxnet::maxnet
Circaetus gallicus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Circus aeruginosus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Circus macrourus,matched,15,15,15,modeled,NA,random_repeated,maxnet::maxnet
Circus spilonotus,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Cisticola exilis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Cisticola juncidis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Clamator coromandus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Clamator jacobinus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Clanga clanga,matched,33,33,33,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Clangula hyemalis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Columba oenas,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Copsychus saularis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Coracias garrulus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Coracina macei,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Coturnicops exquisitus,matched,6,6,6,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Crex crex,matched,11,11,11,modeled,NA,random_repeated,maxnet::maxnet
Crossoptilon mantchuricum,matched,58,58,58,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Curruca communis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Curruca crassirostris,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Curruca curruca,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Cutia nipalensis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Cyanistes cyanus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Cyanoderma pyrrhops,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Cyanoderma rufifrons,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Cygnus columbianus,matched,44,44,44,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Cygnus cygnus,matched,118,118,118,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Cygnus olor,matched,20,20,20,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Cyornis glaucicomans,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Cyornis hainanus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Cyornis poliogenys,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Cyornis rubeculoides,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Delichon dasypus,matched,2,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Dendrocitta formosae,matched,3,3,3,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Dendrocopos hyperythrus,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Dendrocygna javanica,matched,6,6,6,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Dicaeum cruentatum,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Dicaeum ignipectus,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Dicaeum minullum,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Dicrurus annectens,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Dicrurus hottentottus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Dicrurus remifer,matched,13,13,13,modeled,NA,random_repeated,maxnet::maxnet
Egretta eulophotes,matched,12,12,12,modeled,NA,random_repeated,maxnet::maxnet
Egretta garzetta,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Egretta picata,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Elachura formosa,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Elanus caeruleus,matched,4,4,4,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Emberiza buchanani,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Emberiza chrysophrys,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Emberiza citrinella,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Emberiza elegans,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Emberiza godlewskii,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Emberiza hortulana,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Emberiza leucocephalos,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Emberiza melanocephala,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Emberiza pallasi,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Emberiza pusilla,matched,5,5,5,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Emberiza rustica,matched,3,3,3,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Emberiza siemsseni,matched,26,26,26,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Emberiza stewarti,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Emberiza sulphurata,matched,3,3,3,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Emberiza yessoensis,matched,25,25,25,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Enicurus leschenaulti,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Enicurus maculatus,matched,2,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Enicurus schistaceus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Eremophila alpestris,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Erithacus rubecula,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Erpornis zantholeuca,matched,2,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Erythrogenys hypoleucos,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Eudynamys scolopaceus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Eumyias thalassinus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Falco cherrug,matched,4,4,4,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Falco severus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Ficedula albicilla,matched,43,43,43,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Ficedula elisae,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Ficedula erithacus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Ficedula hyperythra,matched,3,3,3,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Ficedula hypoleuca,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Ficedula mugimaki,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Ficedula narcissina,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Ficedula owstoni,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Ficedula parva,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Ficedula ruficauda,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Ficedula strophiata,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Ficedula superciliaris,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Ficedula tricolor,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Fregata andrewsi,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Fregata ariel,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Fringilla coelebs,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Fringilla montifringilla,matched,3,3,3,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Galerida cristata,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Gallicrex cinerea,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Garrulax canorus,matched,33,33,33,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Garrulax maesi,matched,11,11,11,modeled,NA,random_repeated,maxnet::maxnet
Garrulax monileger,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Gavia adamsii,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Gavia arctica,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Gavia pacifica,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Gavia stellata,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Gelochelidon nilotica,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Geokichla citrina,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Geokichla wardii,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Geopelia striata,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Glareola lactea,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Glaucidium cuculoides,matched,26,26,26,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Gorsachius goisagi,matched,6,6,6,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Gorsachius melanolophus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Gracupica nigricollis,matched,66,66,66,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Grandala coelicolor,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Grus canadensis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Grus japonensis,matched,36,36,36,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Grus monacha,matched,29,29,29,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Grus nigricollis,matched,66,66,66,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Grus vipio,matched,21,21,21,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Grus virgo,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Gygis alba,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Gypaetus barbatus,matched,32,32,32,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Gyps himalayensis,matched,19,19,19,modeled,NA,random_repeated,maxnet::maxnet
Gyps tenuirostris,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Halcyon coromanda,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Halcyon pileata,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Halcyon smyrnensis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Haliaeetus leucoryphus,matched,44,44,44,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Haliaeetus pelagicus,matched,3,3,3,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Haliastur indus,matched,4,4,4,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Harpactes wardi,matched,8,8,8,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Helopsaltes certhiola,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Helopsaltes ochotensis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Helopsaltes pleskei,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Helopsaltes pryeri,matched,4,4,4,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Hemiprocne coronata,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Hemitesia pallidipes,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Hemixos castanonotus,matched,5,5,5,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Heterophasia desgodinsi,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Heteroxenicus stellatus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Hieraaetus pennatus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Hierococcyx nisicolor,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Hirundapus caudacutus,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Hirundo rustica,matched,3,3,3,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Hirundo smithii,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Histrionicus histrionicus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Hydrocoloeus minutus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Hydrophasianus chirurgus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Hydroprogne caspia,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
